isogroup93944_g1	Leucine-rich repeat serine/threonine-protein kinase 2 OS=Homo sapiens GN=LRRK2 PE=1 SV=2 E(blastx)=1e-08
isogroup55807_g2	Protein CLEC16A OS=Mus musculus GN=Clec16a PE=1 SV=2 E(blastx)=9e-132
isogroup61063_g2	Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 2 OS=Homo sapiens GN=AGAP2 PE=1 SV=2 E(blastx)=2e-59
isogroup60331_g1	Ketosamine-3-kinase OS=Homo sapiens GN=FN3KRP PE=1 SV=2 E(blastx)=2e-40
isogroup58559_g1	Uromodulin OS=Pongo abelii GN=UMOD PE=2 SV=1 E(blastx)=3e-47
isogroup180720_g1	RNA-directed DNA polymerase from mobile element jockey OS=Drosophila melanogaster GN=pol PE=1 SV=1 E(blastx)=7e-05
isogroup55379_g1	LanC-like protein 1 OS=Rattus norvegicus GN=Lancl1 PE=1 SV=2 E(blastx)=8e-127
isogroup46354_g1	D-inositol 3-phosphate glycosyltransferase OS=Mycobacterium gilvum (strain PYR-GCK) GN=mshA PE=3 SV=1 E(blastx)=1e-09
isogroup61999_g2	Nuclear pore complex protein NUP205 OS=Arabidopsis thaliana GN=NUP205 PE=1 SV=1 E(blastx)=2e-20
isogroup59253_g1	RING finger protein nhl-1 OS=Caenorhabditis elegans GN=nhl-1 PE=1 SV=2 E(blastx)=3e-24
isogroup55553_g2	Vesicular inhibitory amino acid transporter OS=Xenopus tropicalis GN=slc32a1 PE=2 SV=1 E(blastx)=3e-45
isogroup62493_g6	MIT domain-containing protein 1 OS=Homo sapiens GN=MITD1 PE=1 SV=1 E(blastx)=3e-85
isogroup60755_g1	PHD finger protein 10 OS=Rattus norvegicus GN=Phf10 PE=1 SV=2 E(blastx)=5e-50
isogroup56014_g1	UBX domain-containing protein 1 OS=Xenopus tropicalis GN=ubxn1 PE=2 SV=1 E(blastx)=2e-33
isogroup124052_g1	Exonuclease 1 OS=Danio rerio GN=exo1 PE=2 SV=1 E(blastx)=2e-22
isogroup61335_g1	Mannan-binding lectin serine protease 1 OS=Mus musculus GN=Masp1 PE=1 SV=2 E(blastx)=9e-150
isogroup56666_g1	Lipase maturation factor 2 OS=Xenopus laevis GN=lmf2 PE=2 SV=1 E(blastx)=5e-172
isogroup62609_g1	Fibroblast growth factor receptor 3 OS=Homo sapiens GN=FGFR3 PE=1 SV=1 E(blastx)=1e-64
isogroup60914_g3	GDP-D-glucose phosphorylase 1 OS=Danio rerio GN=gdpgp1 PE=2 SV=1 E(blastx)=5e-58
isogroup128250_g1	Golgi-associated plant pathogenesis-related protein 1 OS=Homo sapiens GN=GLIPR2 PE=1 SV=3 E(blastx)=6e-10
isogroup62282_g3	Multiple inositol polyphosphate phosphatase 1 OS=Mus musculus GN=Minpp1 PE=1 SV=3 E(blastx)=4e-49
isogroup61906_g1	Protein capicua homolog OS=Homo sapiens GN=CIC PE=1 SV=2 E(blastx)=8e-41
isogroup60594_g1	Glycosyltransferase family 92 protein F13G3.3 OS=Caenorhabditis elegans GN=F13G3.3 PE=3 SV=2 E(blastx)=8e-07
isogroup186624_g1	Lysophospholipase-like protein 1 OS=Homo sapiens GN=LYPLAL1 PE=1 SV=3 E(blastx)=4e-36
isogroup26997_g1	Integrator complex subunit 5 OS=Mus musculus GN=Ints5 PE=2 SV=1 E(blastx)=3e-08
isogroup56869_g1	Frizzled-4 OS=Drosophila melanogaster GN=fz4 PE=2 SV=2 E(blastx)=6e-08
isogroup181710_g1	Caspase-8 OS=Rattus norvegicus GN=Casp8 PE=1 SV=1 E(blastx)=3e-09
isogroup61094_g1	G-protein coupled receptor GRL101 OS=Lymnaea stagnalis PE=2 SV=1 E(blastx)=2e-105
isogroup59181_g2	Histone deacetylase 5 OS=Cricetulus griseus GN=HDAC5 PE=2 SV=1 E(blastx)=2e-174
isogroup46574_g2	Transmembrane protein 53 OS=Danio rerio GN=tmem53 PE=2 SV=1 E(blastx)=3e-06
isogroup60810_g1	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit OS=Rattus norvegicus GN=Ogt PE=1 SV=1 E(blastx)=9e-160
isogroup21228_g1	Putative tyramine receptor 2 OS=Locusta migratoria GN=GCR2 PE=2 SV=1 E(blastx)=9e-15
isogroup185715_g1	Ribonuclease H2 subunit A OS=Bos taurus GN=RNASEH2A PE=1 SV=1 E(blastx)=3e-101
isogroup89332_g1	Thioredoxin reductase SEP1 OS=Emiliania huxleyi GN=SEP1 PE=1 SV=1 E(blastx)=8e-56
isogroup58045_g1	Apocarotenoid-15,15'-oxygenase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) GN=sll1541 PE=1 SV=1 E(blastx)=1e-69
isogroup58507_g9	Non-structural maintenance of chromosomes element 3 homolog OS=Homo sapiens GN=NSMCE3 PE=1 SV=1 E(blastx)=4e-46
isogroup46340_g1	Glucose-6-phosphatase 2 OS=Homo sapiens GN=G6PC2 PE=1 SV=1 E(blastx)=4e-63
isogroup39685_g1	40S ribosomal protein S17 OS=Coturnix coturnix japonica GN=RPS17 PE=2 SV=3 E(blastx)=2e-73
isogroup45585_g1	E3 ubiquitin-protein ligase CHFR OS=Pongo abelii GN=CHFR PE=2 SV=1 E(blastx)=2e-49
isogroup59507_g2	Succinyl-CoA ligase [GDP-forming] subunit beta, mitochondrial OS=Bos taurus GN=SUCLG2 PE=2 SV=1 E(blastx)=2e-180
isogroup62283_g2	Guanine nucleotide-binding protein subunit beta OS=Dictyostelium discoideum GN=gpbA PE=1 SV=1 E(blastx)=1e-05
isogroup40035_g1	Trimethyllysine dioxygenase, mitochondrial OS=Mus musculus GN=Tmlhe PE=1 SV=2 E(blastx)=3e-78
isogroup49960_g1	Tenascin-R OS=Homo sapiens GN=TNR PE=1 SV=3 E(blastx)=4e-46
isogroup38134_g1	Protein fem-1 homolog C OS=Mus musculus GN=Fem1c PE=2 SV=1 E(blastx)=6e-18
isogroup145630_g1	Adhesion G-protein coupled receptor D1 OS=Homo sapiens GN=ADGRD1 PE=1 SV=1 E(blastx)=3e-45
isogroup53858_g1	Collagen triple helix repeat-containing protein 1 OS=Mus musculus GN=Cthrc1 PE=2 SV=2 E(blastx)=3e-16
isogroup9363_g1	GPI mannosyltransferase 3 OS=Bos taurus GN=PIGB PE=2 SV=1 E(blastx)=2e-78
isogroup59836_g1	Transcription elongation regulator 1 OS=Homo sapiens GN=TCERG1 PE=1 SV=2 E(blastx)=1e-142
isogroup184088_g1	Ectonucleotide pyrophosphatase/phosphodiesterase family member 5 OS=Homo sapiens GN=ENPP5 PE=2 SV=1 E(blastx)=3e-54
isogroup53560_g1	Ras-like protein 1 OS=Physarum polycephalum GN=RAS1 PE=2 SV=1 E(blastx)=7e-32
isogroup34640_g1	RNA-directed DNA polymerase from mobile element jockey OS=Drosophila funebris GN=jockey\pol PE=1 SV=1 E(blastx)=1e-07
isogroup38056_g1	Krueppel-like factor 7 OS=Homo sapiens GN=KLF7 PE=2 SV=1 E(blastx)=1e-51
isogroup37234_g1	Fibroblast growth factor receptor 2 OS=Notophthalmus viridescens GN=FGFR2 PE=2 SV=1 E(blastx)=1e-23
isogroup60520_g1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1 OS=Homo sapiens GN=SMCHD1 PE=1 SV=2 E(blastx)=2e-78
isogroup62574_g2	Allatostatin-A receptor OS=Bombyx mori GN=AR PE=2 SV=1 E(blastx)=4e-12
isogroup59051_g1	Kelch domain-containing protein 2 OS=Homo sapiens GN=KLHDC2 PE=1 SV=1 E(blastx)=5e-71
isogroup59034_g1	Lipase maturation factor 1 OS=Mus musculus GN=Lmf1 PE=1 SV=1 E(blastx)=1e-175
isogroup170792_g1	Galanin receptor type 2 OS=Rattus norvegicus GN=Galr2 PE=2 SV=1 E(blastx)=6e-08
isogroup53267_g1	Cadherin-related tumor suppressor OS=Drosophila melanogaster GN=ft PE=1 SV=3 E(blastx)=2e-05
isogroup102843_g1	Metabotropic glutamate receptor 3 OS=Mus musculus GN=Grm3 PE=1 SV=1 E(blastx)=3e-11
isogroup62473_g1	Protein transport protein Sec31A OS=Rattus norvegicus GN=Sec31a PE=1 SV=2 E(blastx)=2e-29
isogroup58116_g1	U4/U6.U5 tri-snRNP-associated protein 1 OS=Homo sapiens GN=SART1 PE=1 SV=1 E(blastx)=2e-66
isogroup57305_g1	Fibrinogen C domain-containing protein 1 OS=Macaca fascicularis GN=FIBCD1 PE=2 SV=1 E(blastx)=2e-52
isogroup177388_g1	Neuropeptides capa receptor OS=Drosophila melanogaster GN=CapaR PE=2 SV=3 E(blastx)=9e-11
isogroup61615_g1	Protein BZZ1 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) GN=bzz1 PE=3 SV=1 E(blastx)=9e-19
isogroup44789_g1	LINE-1 retrotransposable element ORF2 protein OS=Homo sapiens PE=1 SV=1 E(blastx)=1e-14
isogroup47736_g1	Monocarboxylate transporter 10 OS=Homo sapiens GN=SLC16A10 PE=1 SV=1 E(blastx)=1e-39
isogroup54403_g1	TGF-beta-activated kinase 1 and MAP3K7-binding protein 2 OS=Homo sapiens GN=TAB2 PE=1 SV=1 E(blastx)=1e-13
isogroup55665_g4	Peptide-N(4)-(N-acetyl-beta-glucosaminyl)asparagine amidase OS=Rattus norvegicus GN=Ngly1 PE=2 SV=2 E(blastx)=4e-180
isogroup58974_g2	TRPL translocation defect protein 14 OS=Drosophila melanogaster GN=Ttd14 PE=1 SV=1 E(blastx)=5e-160
isogroup58794_g7	Tubulin-specific chaperone C OS=Bos taurus GN=TBCC PE=2 SV=1 E(blastx)=1e-66
isogroup97926_g1	Phospholipase A2 A2-hormotoxin-Apt1a OS=Adamsia palliata PE=2 SV=1 E(blastx)=5e-25
isogroup61485_g8	Tetratricopeptide repeat protein 28 OS=Mus musculus GN=Ttc28 PE=1 SV=3 E(blastx)=3e-18
isogroup48986_g1	TNF receptor-associated factor 3 OS=Homo sapiens GN=TRAF3 PE=1 SV=2 E(blastx)=1e-11
isogroup101940_g1	Filamin-B (Fragment) OS=Oryctolagus cuniculus GN=FLNB PE=1 SV=1 E(blastx)=1e-15
isogroup167490_g1	Potassium voltage-gated channel subfamily A member 4 OS=Homo sapiens GN=KCNA4 PE=1 SV=2 E(blastx)=4e-37
isogroup61801_g2	Decapping and exoribonuclease protein OS=Bos taurus GN=DXO PE=2 SV=1 E(blastx)=4e-30
isogroup51702_g1	Coagulation factor V OS=Bos taurus GN=F5 PE=1 SV=1 E(blastx)=1e-26
isogroup61751_g1	Retinoic acid-induced protein 1 OS=Mus musculus GN=Rai1 PE=1 SV=3 E(blastx)=3e-20
isogroup62251_g1	Fibropellin-1 OS=Strongylocentrotus purpuratus GN=EGF1 PE=1 SV=2 E(blastx)=3e-178
isogroup60478_g2	Cytochrome P450 3A24 OS=Ovis aries GN=CYP3A24 PE=2 SV=1 E(blastx)=1e-35
isogroup41966_g1	Group XV phospholipase A2 OS=Homo sapiens GN=PLA2G15 PE=1 SV=2 E(blastx)=2e-30
isogroup98601_g1	Zinc finger SWIM domain-containing protein 8 OS=Bos taurus GN=ZSWIM8 PE=2 SV=1 E(blastx)=4e-57
isogroup52388_g1	Hemicentin-2 OS=Homo sapiens GN=HMCN2 PE=2 SV=3 E(blastx)=1e-20
isogroup52001_g1	Zinc finger protein 45 OS=Homo sapiens GN=ZNF45 PE=2 SV=2 E(blastx)=2e-62
isogroup14904_g1	Transmembrane prolyl 4-hydroxylase OS=Homo sapiens GN=P4HTM PE=1 SV=2 E(blastx)=2e-09
isogroup44783_g1	LINE-1 retrotransposable element ORF2 protein OS=Homo sapiens PE=1 SV=1 E(blastx)=3e-26
isogroup61807_g1	Transmembrane protein 198 OS=Xenopus tropicalis GN=tmem198 PE=1 SV=1 E(blastx)=1e-12
isogroup53935_g1	Ankyrin repeat domain-containing protein 12 OS=Homo sapiens GN=ANKRD12 PE=1 SV=3 E(blastx)=7e-34
isogroup54917_g2	Proteasome subunit beta type-2 OS=Homo sapiens GN=PSMB2 PE=1 SV=1 E(blastx)=1e-80
isogroup56792_g1	E3 ubiquitin-protein ligase RNF19A OS=Sus scrofa GN=RNF19A PE=2 SV=1 E(blastx)=1e-165
isogroup41100_g1	Kinesin-like protein KIF25 OS=Homo sapiens GN=KIF25 PE=2 SV=2 E(blastx)=1e-44
isogroup32218_g1	Rhodopsin, GQ-coupled OS=Mizuhopecten yessoensis GN=SCOP1 PE=1 SV=1 E(blastx)=2e-19
isogroup118600_g1	Glutamate receptor 3.1 OS=Arabidopsis thaliana GN=GLR3.1 PE=2 SV=2 E(blastx)=2e-14
isogroup57870_g1	Nuclear receptor coactivator 5 OS=Homo sapiens GN=NCOA5 PE=1 SV=2 E(blastx)=3e-36
isogroup43057_g1	Tonsoku-like protein OS=Danio rerio GN=tonsl PE=2 SV=1 E(blastx)=2e-33
isogroup57017_g1	RING finger protein 24 OS=Homo sapiens GN=RNF24 PE=1 SV=1 E(blastx)=3e-11
isogroup44571_g1	Hematopoietic prostaglandin D synthase OS=Gallus gallus GN=HPGDS PE=1 SV=3 E(blastx)=3e-20
isogroup56994_g1	Cytoplasmic polyadenylation element-binding protein 2 OS=Mus musculus GN=Cpeb2 PE=1 SV=1 E(blastx)=9e-169
isogroup58030_g1	Males-absent on the first protein OS=Drosophila melanogaster GN=mof PE=1 SV=1 E(blastx)=9e-152
isogroup61180_g1	Rho GTPase-activating protein 26 OS=Homo sapiens GN=ARHGAP26 PE=1 SV=1 E(blastx)=2e-127
isogroup50098_g1	Neuroguidin OS=Bos taurus GN=NGDN PE=2 SV=1 E(blastx)=3e-47
isogroup17076_g1	Tripartite motif-containing protein 59 OS=Gallus gallus GN=TRIM59 PE=2 SV=1 E(blastx)=2e-09
isogroup54314_g2	Tyrosine-protein kinase BTK OS=Gallus gallus GN=BTK PE=1 SV=1 E(blastx)=3e-168
isogroup168395_g1	Probable G-protein coupled receptor 83 OS=Canis lupus familiaris GN=GPR83 PE=2 SV=1 E(blastx)=1e-09
isogroup57774_g1	Intraflagellar transport protein 56 OS=Homo sapiens GN=TTC26 PE=2 SV=1 E(blastx)=6e-179
isogroup12171_g1	Protein phosphatase 1 regulatory subunit 27 OS=Mus musculus GN=Ppp1r27 PE=2 SV=1 E(blastx)=1e-11
isogroup58474_g2	Probable RNA-directed DNA polymerase from transposon BS OS=Drosophila melanogaster GN=RTase PE=2 SV=1 E(blastx)=2e-08
isogroup53526_g1	Pogo transposable element with KRAB domain OS=Homo sapiens GN=POGK PE=1 SV=2 E(blastx)=2e-05
isogroup54104_g1	tRNA selenocysteine 1-associated protein 1 OS=Homo sapiens GN=TRNAU1AP PE=1 SV=1 E(blastx)=2e-68
isogroup186353_g1	Alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase A OS=Cricetulus griseus GN=MGAT5 PE=2 SV=1 E(blastx)=3e-130
isogroup59883_g4	GTP-binding protein 1 OS=Rattus norvegicus GN=Gtpbp1 PE=1 SV=1 E(blastx)=8e-149
isogroup58503_g1	Zinc finger protein 554 OS=Homo sapiens GN=ZNF554 PE=2 SV=1 E(blastx)=1e-45
isogroup46350_g1	Interferon regulatory factor 8 OS=Mus musculus GN=Irf8 PE=1 SV=1 E(blastx)=2e-31
isogroup1456_g1	Protein fem-1 homolog A OS=Danio rerio GN=fem1a PE=2 SV=1 E(blastx)=2e-11
isogroup14948_g1	Protein very KIND OS=Mus musculus GN=Kndc1 PE=1 SV=2 E(blastx)=5e-06
isogroup61940_g4	Sporozoite surface protein 2 OS=Plasmodium yoelii yoelii GN=SSP2 PE=1 SV=2 E(blastx)=4e-06
isogroup51977_g1	Bifunctional arginine demethylase and lysyl-hydroxylase JMJD6 OS=Pongo abelii GN=JMJD6 PE=2 SV=1 E(blastx)=3e-160
isogroup56158_g1	Uridine 5'-monophosphate synthase OS=Pongo abelii GN=UMPS PE=2 SV=1 E(blastx)=2e-168
isogroup58596_g1	Chaperone protein ClpB OS=Protochlamydia amoebophila (strain UWE25) GN=clpB PE=3 SV=1 E(blastx)=1e-67
isogroup59468_g2	Cadherin-4 OS=Caenorhabditis elegans GN=cdh-4 PE=1 SV=3 E(blastx)=1e-05
isogroup58683_g1	Adenosine 3'-phospho 5'-phosphosulfate transporter 1 OS=Homo sapiens GN=SLC35B2 PE=1 SV=1 E(blastx)=9e-114
